barcode_cell	clone	atac_cell	replicate
R1.091,R2.010,R3.041,P1.03	clone17	R1.091,R2.010,R3.041,P1.25	DSS21BC-Control-m9
R1.091,R2.026,R3.003,P1.03	clone18	R1.091,R2.026,R3.003,P1.25	DSS21BC-Control-m9
R1.091,R2.035,R3.061,P1.03	clone279	R1.091,R2.035,R3.061,P1.25	DSS21BC-Control-m9
R1.091,R2.042,R3.054,P1.03	clone203	R1.091,R2.042,R3.054,P1.25	DSS21BC-Control-m9
R1.092,R2.042,R3.034,P1.03	clone18	R1.092,R2.042,R3.034,P1.25	DSS21BC-Control-m9
R1.092,R2.073,R3.059,P1.03	clone63	R1.092,R2.073,R3.059,P1.25	DSS21BC-Control-m9
R1.093,R2.020,R3.019,P1.03	clone43	R1.093,R2.020,R3.019,P1.25	DSS21BC-Control-m9
R1.093,R2.033,R3.017,P1.03	clone17	R1.093,R2.033,R3.017,P1.25	DSS21BC-Control-m9
R1.093,R2.087,R3.080,P1.03	clone17	R1.093,R2.087,R3.080,P1.25	DSS21BC-Control-m9
R1.094,R2.008,R3.013,P1.03	clone83	R1.094,R2.008,R3.013,P1.25	DSS21BC-Control-m9
R1.094,R2.060,R3.061,P1.03	clone200	R1.094,R2.060,R3.061,P1.25	DSS21BC-Control-m9
R1.094,R2.064,R3.047,P1.03	clone18	R1.094,R2.064,R3.047,P1.25	DSS21BC-Control-m9
R1.094,R2.093,R3.036,P1.03	clone17	R1.094,R2.093,R3.036,P1.25	DSS21BC-Control-m9
R1.095,R2.047,R3.084,P1.03	clone19	R1.095,R2.047,R3.084,P1.25	DSS21BC-Control-m9
R1.096,R2.028,R3.019,P1.03	clone88	R1.096,R2.028,R3.019,P1.25	DSS21BC-Control-m9
R1.096,R2.047,R3.090,P1.03	clone18	R1.096,R2.047,R3.090,P1.25	DSS21BC-Control-m9
R1.096,R2.055,R3.007,P1.03	clone17	R1.096,R2.055,R3.007,P1.25	DSS21BC-Control-m9
R1.096,R2.055,R3.047,P1.03	clone45,clone54,clone90	R1.096,R2.055,R3.047,P1.25	DSS21BC-Control-m9
R1.096,R2.086,R3.042,P1.03	clone54	R1.096,R2.086,R3.042,P1.25	DSS21BC-Control-m9
R1.001,R2.011,R3.087,P1.04	clone21	R1.001,R2.011,R3.087,P1.26	DSS21BC-DSS-m1
R1.001,R2.034,R3.011,P1.04	clone325	R1.001,R2.034,R3.011,P1.26	DSS21BC-DSS-m1
R1.001,R2.044,R3.045,P1.04	clone6	R1.001,R2.044,R3.045,P1.26	DSS21BC-DSS-m1
R1.001,R2.050,R3.069,P1.04	clone6	R1.001,R2.050,R3.069,P1.26	DSS21BC-DSS-m1
R1.001,R2.089,R3.053,P1.04	clone23	R1.001,R2.089,R3.053,P1.26	DSS21BC-DSS-m1
R1.001,R2.093,R3.014,P1.04	clone36	R1.001,R2.093,R3.014,P1.26	DSS21BC-DSS-m1
R1.002,R2.001,R3.089,P1.04	clone6	R1.002,R2.001,R3.089,P1.26	DSS21BC-DSS-m1
R1.002,R2.008,R3.076,P1.04	clone25	R1.002,R2.008,R3.076,P1.26	DSS21BC-DSS-m1
R1.002,R2.011,R3.012,P1.04	clone6	R1.002,R2.011,R3.012,P1.26	DSS21BC-DSS-m1
R1.002,R2.013,R3.086,P1.04	clone273	R1.002,R2.013,R3.086,P1.26	DSS21BC-DSS-m1
R1.002,R2.034,R3.017,P1.04	clone25	R1.002,R2.034,R3.017,P1.26	DSS21BC-DSS-m1
R1.002,R2.043,R3.085,P1.04	clone6	R1.002,R2.043,R3.085,P1.26	DSS21BC-DSS-m1
R1.003,R2.018,R3.005,P1.04	clone72	R1.003,R2.018,R3.005,P1.26	DSS21BC-DSS-m1
R1.003,R2.028,R3.067,P1.04	clone6	R1.003,R2.028,R3.067,P1.26	DSS21BC-DSS-m1
R1.003,R2.031,R3.058,P1.04	clone36	R1.003,R2.031,R3.058,P1.26	DSS21BC-DSS-m1
R1.003,R2.037,R3.085,P1.04	clone6	R1.003,R2.037,R3.085,P1.26	DSS21BC-DSS-m1
R1.003,R2.041,R3.077,P1.04	clone6	R1.003,R2.041,R3.077,P1.26	DSS21BC-DSS-m1
R1.003,R2.050,R3.074,P1.04	clone57	R1.003,R2.050,R3.074,P1.26	DSS21BC-DSS-m1
R1.003,R2.067,R3.055,P1.04	clone6	R1.003,R2.067,R3.055,P1.26	DSS21BC-DSS-m1
R1.004,R2.003,R3.069,P1.04	clone6	R1.004,R2.003,R3.069,P1.26	DSS21BC-DSS-m1
R1.004,R2.009,R3.003,P1.04	clone445	R1.004,R2.009,R3.003,P1.26	DSS21BC-DSS-m1
R1.004,R2.013,R3.051,P1.04	clone25	R1.004,R2.013,R3.051,P1.26	DSS21BC-DSS-m1
R1.004,R2.020,R3.021,P1.04	clone6	R1.004,R2.020,R3.021,P1.26	DSS21BC-DSS-m1
R1.004,R2.020,R3.076,P1.04	clone6	R1.004,R2.020,R3.076,P1.26	DSS21BC-DSS-m1
R1.004,R2.025,R3.073,P1.04	clone264,clone472,clone438,clone460	R1.004,R2.025,R3.073,P1.26	DSS21BC-DSS-m1
R1.004,R2.026,R3.025,P1.04	clone79	R1.004,R2.026,R3.025,P1.26	DSS21BC-DSS-m1
R1.004,R2.050,R3.081,P1.04	clone436	R1.004,R2.050,R3.081,P1.26	DSS21BC-DSS-m1
R1.004,R2.051,R3.017,P1.04	clone6	R1.004,R2.051,R3.017,P1.26	DSS21BC-DSS-m1
R1.004,R2.059,R3.003,P1.04	clone194	R1.004,R2.059,R3.003,P1.26	DSS21BC-DSS-m1
R1.004,R2.066,R3.026,P1.04	clone36	R1.004,R2.066,R3.026,P1.26	DSS21BC-DSS-m1
R1.004,R2.073,R3.062,P1.04	clone21	R1.004,R2.073,R3.062,P1.26	DSS21BC-DSS-m1
R1.004,R2.077,R3.093,P1.04	clone6	R1.004,R2.077,R3.093,P1.26	DSS21BC-DSS-m1
R1.005,R2.025,R3.058,P1.04	clone6	R1.005,R2.025,R3.058,P1.26	DSS21BC-DSS-m1
R1.005,R2.075,R3.045,P1.04	clone21	R1.005,R2.075,R3.045,P1.26	DSS21BC-DSS-m1
R1.005,R2.095,R3.005,P1.04	clone21	R1.005,R2.095,R3.005,P1.26	DSS21BC-DSS-m1
R1.006,R2.006,R3.074,P1.04	clone6	R1.006,R2.006,R3.074,P1.26	DSS21BC-DSS-m1
R1.006,R2.011,R3.067,P1.04	clone25	R1.006,R2.011,R3.067,P1.26	DSS21BC-DSS-m1
R1.006,R2.017,R3.012,P1.04	clone6	R1.006,R2.017,R3.012,P1.26	DSS21BC-DSS-m1
R1.006,R2.022,R3.035,P1.04	clone25	R1.006,R2.022,R3.035,P1.26	DSS21BC-DSS-m1
R1.006,R2.042,R3.004,P1.04	clone25	R1.006,R2.042,R3.004,P1.26	DSS21BC-DSS-m1
R1.006,R2.056,R3.062,P1.04	clone6	R1.006,R2.056,R3.062,P1.26	DSS21BC-DSS-m1
R1.006,R2.088,R3.014,P1.04	clone25	R1.006,R2.088,R3.014,P1.26	DSS21BC-DSS-m1
R1.006,R2.095,R3.095,P1.04	clone21	R1.006,R2.095,R3.095,P1.26	DSS21BC-DSS-m1
R1.007,R2.015,R3.087,P1.04	clone6	R1.007,R2.015,R3.087,P1.26	DSS21BC-DSS-m1
R1.007,R2.020,R3.063,P1.04	clone6	R1.007,R2.020,R3.063,P1.26	DSS21BC-DSS-m1
R1.007,R2.054,R3.030,P1.04	clone194	R1.007,R2.054,R3.030,P1.26	DSS21BC-DSS-m1
R1.007,R2.055,R3.020,P1.04	clone194	R1.007,R2.055,R3.020,P1.26	DSS21BC-DSS-m1
R1.007,R2.065,R3.001,P1.04	clone6	R1.007,R2.065,R3.001,P1.26	DSS21BC-DSS-m1
R1.008,R2.033,R3.037,P1.04	clone350	R1.008,R2.033,R3.037,P1.26	DSS21BC-DSS-m1
R1.008,R2.035,R3.011,P1.04	clone193	R1.008,R2.035,R3.011,P1.26	DSS21BC-DSS-m1
R1.008,R2.060,R3.070,P1.04	clone6	R1.008,R2.060,R3.070,P1.26	DSS21BC-DSS-m1
R1.008,R2.063,R3.039,P1.04	clone6	R1.008,R2.063,R3.039,P1.26	DSS21BC-DSS-m1
R1.008,R2.085,R3.022,P1.04	clone36	R1.008,R2.085,R3.022,P1.26	DSS21BC-DSS-m1
R1.008,R2.092,R3.002,P1.04	clone6	R1.008,R2.092,R3.002,P1.26	DSS21BC-DSS-m1
R1.008,R2.094,R3.046,P1.04	clone120	R1.008,R2.094,R3.046,P1.26	DSS21BC-DSS-m1
R1.009,R2.033,R3.013,P1.04	clone6	R1.009,R2.033,R3.013,P1.26	DSS21BC-DSS-m1
R1.009,R2.036,R3.013,P1.04	clone96	R1.009,R2.036,R3.013,P1.26	DSS21BC-DSS-m1
R1.010,R2.004,R3.026,P1.04	clone6	R1.010,R2.004,R3.026,P1.26	DSS21BC-DSS-m1
R1.010,R2.011,R3.033,P1.04	clone6	R1.010,R2.011,R3.033,P1.26	DSS21BC-DSS-m1
R1.010,R2.073,R3.001,P1.04	clone23	R1.010,R2.073,R3.001,P1.26	DSS21BC-DSS-m1
R1.010,R2.073,R3.091,P1.04	clone23,clone180	R1.010,R2.073,R3.091,P1.26	DSS21BC-DSS-m1
R1.011,R2.005,R3.058,P1.04	clone6	R1.011,R2.005,R3.058,P1.26	DSS21BC-DSS-m1
R1.011,R2.035,R3.026,P1.04	clone6	R1.011,R2.035,R3.026,P1.26	DSS21BC-DSS-m1
R1.011,R2.035,R3.036,P1.04	clone6	R1.011,R2.035,R3.036,P1.26	DSS21BC-DSS-m1
R1.011,R2.041,R3.026,P1.04	clone36	R1.011,R2.041,R3.026,P1.26	DSS21BC-DSS-m1
R1.011,R2.044,R3.071,P1.04	clone341,clone415	R1.011,R2.044,R3.071,P1.26	DSS21BC-DSS-m1
R1.011,R2.068,R3.020,P1.04	clone6	R1.011,R2.068,R3.020,P1.26	DSS21BC-DSS-m1
R1.011,R2.070,R3.064,P1.04	clone72	R1.011,R2.070,R3.064,P1.26	DSS21BC-DSS-m1
R1.011,R2.089,R3.012,P1.04	clone6	R1.011,R2.089,R3.012,P1.26	DSS21BC-DSS-m1
R1.012,R2.015,R3.024,P1.04	clone6	R1.012,R2.015,R3.024,P1.26	DSS21BC-DSS-m1
R1.012,R2.082,R3.009,P1.04	clone192	R1.012,R2.082,R3.009,P1.26	DSS21BC-DSS-m1
R1.012,R2.092,R3.033,P1.04	clone23	R1.012,R2.092,R3.033,P1.26	DSS21BC-DSS-m1
R1.013,R2.015,R3.087,P1.04	clone131	R1.013,R2.015,R3.087,P1.26	DSS21BC-DSS-m1
R1.013,R2.031,R3.022,P1.04	clone6	R1.013,R2.031,R3.022,P1.26	DSS21BC-DSS-m1
R1.013,R2.038,R3.085,P1.04	clone6	R1.013,R2.038,R3.085,P1.26	DSS21BC-DSS-m1
R1.013,R2.064,R3.093,P1.04	clone350	R1.013,R2.064,R3.093,P1.26	DSS21BC-DSS-m1
R1.013,R2.070,R3.096,P1.04	clone341	R1.013,R2.070,R3.096,P1.26	DSS21BC-DSS-m1
R1.013,R2.077,R3.020,P1.04	clone36	R1.013,R2.077,R3.020,P1.26	DSS21BC-DSS-m1
R1.013,R2.080,R3.046,P1.04	clone244	R1.013,R2.080,R3.046,P1.26	DSS21BC-DSS-m1
R1.014,R2.055,R3.085,P1.04	clone25	R1.014,R2.055,R3.085,P1.26	DSS21BC-DSS-m1
R1.014,R2.060,R3.082,P1.04	clone21,clone6	R1.014,R2.060,R3.082,P1.26	DSS21BC-DSS-m1
R1.015,R2.004,R3.048,P1.04	clone20	R1.015,R2.004,R3.048,P1.26	DSS21BC-DSS-m1
R1.015,R2.006,R3.001,P1.04	clone6	R1.015,R2.006,R3.001,P1.26	DSS21BC-DSS-m1
R1.015,R2.012,R3.081,P1.04	clone369	R1.015,R2.012,R3.081,P1.26	DSS21BC-DSS-m1
R1.015,R2.031,R3.063,P1.04	clone21	R1.015,R2.031,R3.063,P1.26	DSS21BC-DSS-m1
R1.015,R2.056,R3.047,P1.04	clone21	R1.015,R2.056,R3.047,P1.26	DSS21BC-DSS-m1
R1.016,R2.004,R3.077,P1.04	clone6	R1.016,R2.004,R3.077,P1.26	DSS21BC-DSS-m1
R1.016,R2.039,R3.047,P1.04	clone6	R1.016,R2.039,R3.047,P1.26	DSS21BC-DSS-m1
R1.016,R2.060,R3.075,P1.04	clone6	R1.016,R2.060,R3.075,P1.26	DSS21BC-DSS-m1
R1.016,R2.086,R3.092,P1.04	clone6	R1.016,R2.086,R3.092,P1.26	DSS21BC-DSS-m1
R1.017,R2.004,R3.066,P1.04	clone11	R1.017,R2.004,R3.066,P1.26	DSS21BC-DSS-m2
R1.017,R2.010,R3.021,P1.04	clone3	R1.017,R2.010,R3.021,P1.26	DSS21BC-DSS-m2
R1.017,R2.042,R3.049,P1.04	clone5	R1.017,R2.042,R3.049,P1.26	DSS21BC-DSS-m2
R1.017,R2.053,R3.015,P1.04	clone3	R1.017,R2.053,R3.015,P1.26	DSS21BC-DSS-m2
R1.017,R2.065,R3.001,P1.04	clone38	R1.017,R2.065,R3.001,P1.26	DSS21BC-DSS-m2
R1.017,R2.066,R3.094,P1.04	clone459	R1.017,R2.066,R3.094,P1.26	DSS21BC-DSS-m2
R1.017,R2.072,R3.069,P1.04	clone5,clone3	R1.017,R2.072,R3.069,P1.26	DSS21BC-DSS-m2
R1.018,R2.010,R3.089,P1.04	clone11	R1.018,R2.010,R3.089,P1.26	DSS21BC-DSS-m2
R1.018,R2.011,R3.081,P1.04	clone3	R1.018,R2.011,R3.081,P1.26	DSS21BC-DSS-m2
R1.018,R2.031,R3.071,P1.04	clone3	R1.018,R2.031,R3.071,P1.26	DSS21BC-DSS-m2
R1.018,R2.039,R3.029,P1.04	clone5,clone3	R1.018,R2.039,R3.029,P1.26	DSS21BC-DSS-m2
R1.018,R2.044,R3.059,P1.04	clone3	R1.018,R2.044,R3.059,P1.26	DSS21BC-DSS-m2
R1.018,R2.050,R3.027,P1.04	clone5	R1.018,R2.050,R3.027,P1.26	DSS21BC-DSS-m2
R1.018,R2.050,R3.041,P1.04	clone11	R1.018,R2.050,R3.041,P1.26	DSS21BC-DSS-m2
R1.018,R2.053,R3.046,P1.04	clone5,clone3	R1.018,R2.053,R3.046,P1.26	DSS21BC-DSS-m2
R1.018,R2.059,R3.004,P1.04	clone5,clone3	R1.018,R2.059,R3.004,P1.26	DSS21BC-DSS-m2
R1.018,R2.061,R3.016,P1.04	clone5	R1.018,R2.061,R3.016,P1.26	DSS21BC-DSS-m2
R1.018,R2.065,R3.086,P1.04	clone11	R1.018,R2.065,R3.086,P1.26	DSS21BC-DSS-m2
R1.018,R2.082,R3.009,P1.04	clone3	R1.018,R2.082,R3.009,P1.26	DSS21BC-DSS-m2
R1.018,R2.084,R3.066,P1.04	clone11	R1.018,R2.084,R3.066,P1.26	DSS21BC-DSS-m2
R1.019,R2.044,R3.031,P1.04	clone38	R1.019,R2.044,R3.031,P1.26	DSS21BC-DSS-m2
R1.019,R2.067,R3.094,P1.04	clone112	R1.019,R2.067,R3.094,P1.26	DSS21BC-DSS-m2
R1.020,R2.009,R3.017,P1.04	clone3	R1.020,R2.009,R3.017,P1.26	DSS21BC-DSS-m2
R1.020,R2.016,R3.056,P1.04	clone5,clone3	R1.020,R2.016,R3.056,P1.26	DSS21BC-DSS-m2
R1.020,R2.024,R3.057,P1.04	clone5	R1.020,R2.024,R3.057,P1.26	DSS21BC-DSS-m2
R1.020,R2.035,R3.031,P1.04	clone126	R1.020,R2.035,R3.031,P1.26	DSS21BC-DSS-m2
R1.020,R2.044,R3.065,P1.04	clone42	R1.020,R2.044,R3.065,P1.26	DSS21BC-DSS-m2
R1.020,R2.060,R3.021,P1.04	clone3	R1.020,R2.060,R3.021,P1.26	DSS21BC-DSS-m2
R1.020,R2.064,R3.021,P1.04	clone259	R1.020,R2.064,R3.021,P1.26	DSS21BC-DSS-m2
R1.021,R2.016,R3.088,P1.04	clone3	R1.021,R2.016,R3.088,P1.26	DSS21BC-DSS-m2
R1.021,R2.032,R3.064,P1.04	clone5,clone3	R1.021,R2.032,R3.064,P1.26	DSS21BC-DSS-m2
R1.021,R2.033,R3.035,P1.04	clone3	R1.021,R2.033,R3.035,P1.26	DSS21BC-DSS-m2
R1.021,R2.041,R3.062,P1.04	clone5	R1.021,R2.041,R3.062,P1.26	DSS21BC-DSS-m2
R1.021,R2.050,R3.012,P1.04	clone5,clone3	R1.021,R2.050,R3.012,P1.26	DSS21BC-DSS-m2
R1.021,R2.068,R3.095,P1.04	clone209	R1.021,R2.068,R3.095,P1.26	DSS21BC-DSS-m2
R1.021,R2.080,R3.005,P1.04	clone5	R1.021,R2.080,R3.005,P1.26	DSS21BC-DSS-m2
R1.021,R2.089,R3.013,P1.04	clone5,clone3	R1.021,R2.089,R3.013,P1.26	DSS21BC-DSS-m2
R1.022,R2.007,R3.068,P1.04	clone5,clone3	R1.022,R2.007,R3.068,P1.26	DSS21BC-DSS-m2
R1.022,R2.032,R3.077,P1.04	clone11	R1.022,R2.032,R3.077,P1.26	DSS21BC-DSS-m2
R1.022,R2.080,R3.018,P1.04	clone11	R1.022,R2.080,R3.018,P1.26	DSS21BC-DSS-m2
R1.022,R2.092,R3.088,P1.04	clone11	R1.022,R2.092,R3.088,P1.26	DSS21BC-DSS-m2
R1.023,R2.008,R3.054,P1.04	clone5	R1.023,R2.008,R3.054,P1.26	DSS21BC-DSS-m2
R1.023,R2.016,R3.040,P1.04	clone11	R1.023,R2.016,R3.040,P1.26	DSS21BC-DSS-m2
R1.023,R2.029,R3.063,P1.04	clone11	R1.023,R2.029,R3.063,P1.26	DSS21BC-DSS-m2
R1.023,R2.039,R3.004,P1.04	clone3	R1.023,R2.039,R3.004,P1.26	DSS21BC-DSS-m2
R1.023,R2.056,R3.031,P1.04	clone3	R1.023,R2.056,R3.031,P1.26	DSS21BC-DSS-m2
R1.023,R2.069,R3.028,P1.04	clone11	R1.023,R2.069,R3.028,P1.26	DSS21BC-DSS-m2
R1.023,R2.072,R3.019,P1.04	clone11	R1.023,R2.072,R3.019,P1.26	DSS21BC-DSS-m2
R1.023,R2.077,R3.041,P1.04	clone5	R1.023,R2.077,R3.041,P1.26	DSS21BC-DSS-m2
R1.023,R2.082,R3.016,P1.04	clone5,clone3	R1.023,R2.082,R3.016,P1.26	DSS21BC-DSS-m2
R1.024,R2.014,R3.062,P1.04	clone3	R1.024,R2.014,R3.062,P1.26	DSS21BC-DSS-m2
R1.024,R2.024,R3.004,P1.04	clone5,clone3	R1.024,R2.024,R3.004,P1.26	DSS21BC-DSS-m2
R1.024,R2.035,R3.058,P1.04	clone5,clone3	R1.024,R2.035,R3.058,P1.26	DSS21BC-DSS-m2
R1.024,R2.036,R3.045,P1.04	clone11	R1.024,R2.036,R3.045,P1.26	DSS21BC-DSS-m2
R1.024,R2.047,R3.060,P1.04	clone3	R1.024,R2.047,R3.060,P1.26	DSS21BC-DSS-m2
R1.024,R2.080,R3.078,P1.04	clone5,clone3	R1.024,R2.080,R3.078,P1.26	DSS21BC-DSS-m2
R1.024,R2.094,R3.013,P1.04	clone46	R1.024,R2.094,R3.013,P1.26	DSS21BC-DSS-m2
R1.024,R2.096,R3.056,P1.04	clone309	R1.024,R2.096,R3.056,P1.26	DSS21BC-DSS-m2
R1.025,R2.010,R3.026,P1.04	clone3	R1.025,R2.010,R3.026,P1.26	DSS21BC-DSS-m2
R1.025,R2.025,R3.014,P1.04	clone5,clone3	R1.025,R2.025,R3.014,P1.26	DSS21BC-DSS-m2
R1.025,R2.029,R3.026,P1.04	clone5	R1.025,R2.029,R3.026,P1.26	DSS21BC-DSS-m2
R1.025,R2.093,R3.047,P1.04	clone42	R1.025,R2.093,R3.047,P1.26	DSS21BC-DSS-m2
R1.026,R2.003,R3.002,P1.04	clone3	R1.026,R2.003,R3.002,P1.26	DSS21BC-DSS-m2
R1.026,R2.020,R3.073,P1.04	clone3	R1.026,R2.020,R3.073,P1.26	DSS21BC-DSS-m2
R1.026,R2.045,R3.081,P1.04	clone5,clone3	R1.026,R2.045,R3.081,P1.26	DSS21BC-DSS-m2
R1.026,R2.058,R3.025,P1.04	clone3	R1.026,R2.058,R3.025,P1.26	DSS21BC-DSS-m2
R1.026,R2.067,R3.072,P1.04	clone3	R1.026,R2.067,R3.072,P1.26	DSS21BC-DSS-m2
R1.026,R2.078,R3.008,P1.04	clone56	R1.026,R2.078,R3.008,P1.26	DSS21BC-DSS-m2
R1.026,R2.095,R3.014,P1.04	clone70	R1.026,R2.095,R3.014,P1.26	DSS21BC-DSS-m2
R1.026,R2.095,R3.071,P1.04	clone48	R1.026,R2.095,R3.071,P1.26	DSS21BC-DSS-m2
R1.027,R2.023,R3.091,P1.04	clone5,clone3	R1.027,R2.023,R3.091,P1.26	DSS21BC-DSS-m2
R1.027,R2.034,R3.071,P1.04	clone126,clone155	R1.027,R2.034,R3.071,P1.26	DSS21BC-DSS-m2
R1.027,R2.050,R3.042,P1.04	clone46	R1.027,R2.050,R3.042,P1.26	DSS21BC-DSS-m2
R1.027,R2.085,R3.033,P1.04	clone38	R1.027,R2.085,R3.033,P1.26	DSS21BC-DSS-m2
R1.027,R2.087,R3.030,P1.04	clone78	R1.027,R2.087,R3.030,P1.26	DSS21BC-DSS-m2
R1.027,R2.092,R3.024,P1.04	clone42	R1.027,R2.092,R3.024,P1.26	DSS21BC-DSS-m2
R1.028,R2.003,R3.066,P1.04	clone470	R1.028,R2.003,R3.066,P1.26	DSS21BC-DSS-m2
R1.028,R2.014,R3.007,P1.04	clone70	R1.028,R2.014,R3.007,P1.26	DSS21BC-DSS-m2
R1.028,R2.035,R3.089,P1.04	clone11	R1.028,R2.035,R3.089,P1.26	DSS21BC-DSS-m2
R1.028,R2.051,R3.052,P1.04	clone38	R1.028,R2.051,R3.052,P1.26	DSS21BC-DSS-m2
R1.028,R2.061,R3.053,P1.04	clone11	R1.028,R2.061,R3.053,P1.26	DSS21BC-DSS-m2
R1.028,R2.065,R3.050,P1.04	clone143	R1.028,R2.065,R3.050,P1.26	DSS21BC-DSS-m2
R1.028,R2.067,R3.012,P1.04	clone5,clone3	R1.028,R2.067,R3.012,P1.26	DSS21BC-DSS-m2
R1.028,R2.096,R3.007,P1.04	clone11	R1.028,R2.096,R3.007,P1.26	DSS21BC-DSS-m2
R1.029,R2.010,R3.082,P1.04	clone5	R1.029,R2.010,R3.082,P1.26	DSS21BC-DSS-m2
R1.030,R2.002,R3.087,P1.04	clone11	R1.030,R2.002,R3.087,P1.26	DSS21BC-DSS-m2
R1.030,R2.014,R3.095,P1.04	clone5,clone3	R1.030,R2.014,R3.095,P1.26	DSS21BC-DSS-m2
R1.030,R2.024,R3.040,P1.04	clone5,clone3	R1.030,R2.024,R3.040,P1.26	DSS21BC-DSS-m2
R1.030,R2.042,R3.061,P1.04	clone5	R1.030,R2.042,R3.061,P1.26	DSS21BC-DSS-m2
R1.030,R2.048,R3.082,P1.04	clone11	R1.030,R2.048,R3.082,P1.26	DSS21BC-DSS-m2
R1.030,R2.051,R3.072,P1.04	clone42	R1.030,R2.051,R3.072,P1.26	DSS21BC-DSS-m2
R1.030,R2.071,R3.007,P1.04	clone5,clone3	R1.030,R2.071,R3.007,P1.26	DSS21BC-DSS-m2
R1.030,R2.084,R3.033,P1.04	clone11	R1.030,R2.084,R3.033,P1.26	DSS21BC-DSS-m2
R1.030,R2.096,R3.008,P1.04	clone5	R1.030,R2.096,R3.008,P1.26	DSS21BC-DSS-m2
R1.031,R2.019,R3.057,P1.04	clone5,clone3	R1.031,R2.019,R3.057,P1.26	DSS21BC-DSS-m2
R1.031,R2.056,R3.081,P1.04	clone3	R1.031,R2.056,R3.081,P1.26	DSS21BC-DSS-m2
R1.031,R2.070,R3.078,P1.04	clone3	R1.031,R2.070,R3.078,P1.26	DSS21BC-DSS-m2
R1.031,R2.087,R3.083,P1.04	clone5	R1.031,R2.087,R3.083,P1.26	DSS21BC-DSS-m2
R1.031,R2.094,R3.064,P1.04	clone11	R1.031,R2.094,R3.064,P1.26	DSS21BC-DSS-m2
R1.032,R2.013,R3.046,P1.04	clone5	R1.032,R2.013,R3.046,P1.26	DSS21BC-DSS-m2
R1.032,R2.024,R3.051,P1.04	clone42	R1.032,R2.024,R3.051,P1.26	DSS21BC-DSS-m2
R1.032,R2.039,R3.038,P1.04	clone48	R1.032,R2.039,R3.038,P1.26	DSS21BC-DSS-m2
R1.032,R2.048,R3.016,P1.04	clone5	R1.032,R2.048,R3.016,P1.26	DSS21BC-DSS-m2
R1.032,R2.048,R3.018,P1.04	clone56	R1.032,R2.048,R3.018,P1.26	DSS21BC-DSS-m2
R1.033,R2.002,R3.092,P1.04	clone261	R1.033,R2.002,R3.092,P1.26	DSS21BC-DSS-m3
R1.033,R2.011,R3.013,P1.04	clone1	R1.033,R2.011,R3.013,P1.26	DSS21BC-DSS-m3
R1.033,R2.041,R3.089,P1.04	clone1	R1.033,R2.041,R3.089,P1.26	DSS21BC-DSS-m3
R1.033,R2.044,R3.089,P1.04	clone116	R1.033,R2.044,R3.089,P1.26	DSS21BC-DSS-m3
R1.033,R2.051,R3.028,P1.04	clone1	R1.033,R2.051,R3.028,P1.26	DSS21BC-DSS-m3
R1.033,R2.051,R3.039,P1.04	clone28	R1.033,R2.051,R3.039,P1.26	DSS21BC-DSS-m3
R1.033,R2.057,R3.051,P1.04	clone1	R1.033,R2.057,R3.051,P1.26	DSS21BC-DSS-m3
R1.033,R2.072,R3.029,P1.04	clone30	R1.033,R2.072,R3.029,P1.26	DSS21BC-DSS-m3
R1.033,R2.083,R3.052,P1.04	clone1	R1.033,R2.083,R3.052,P1.26	DSS21BC-DSS-m3
R1.034,R2.034,R3.038,P1.04	clone94	R1.034,R2.034,R3.038,P1.26	DSS21BC-DSS-m3
R1.034,R2.065,R3.041,P1.04	clone1	R1.034,R2.065,R3.041,P1.26	DSS21BC-DSS-m3
R1.034,R2.083,R3.086,P1.04	clone1	R1.034,R2.083,R3.086,P1.26	DSS21BC-DSS-m3
R1.034,R2.093,R3.027,P1.04	clone30	R1.034,R2.093,R3.027,P1.26	DSS21BC-DSS-m3
R1.035,R2.004,R3.002,P1.04	clone81	R1.035,R2.004,R3.002,P1.26	DSS21BC-DSS-m3
R1.035,R2.009,R3.044,P1.04	clone30	R1.035,R2.009,R3.044,P1.26	DSS21BC-DSS-m3
R1.035,R2.014,R3.057,P1.04	clone1	R1.035,R2.014,R3.057,P1.26	DSS21BC-DSS-m3
R1.035,R2.025,R3.057,P1.04	clone1	R1.035,R2.025,R3.057,P1.26	DSS21BC-DSS-m3
R1.035,R2.031,R3.093,P1.04	clone1	R1.035,R2.031,R3.093,P1.26	DSS21BC-DSS-m3
R1.035,R2.046,R3.080,P1.04	clone94	R1.035,R2.046,R3.080,P1.26	DSS21BC-DSS-m3
R1.035,R2.073,R3.063,P1.04	clone1	R1.035,R2.073,R3.063,P1.26	DSS21BC-DSS-m3
R1.035,R2.076,R3.096,P1.04	clone1	R1.035,R2.076,R3.096,P1.26	DSS21BC-DSS-m3
R1.036,R2.011,R3.068,P1.04	clone1	R1.036,R2.011,R3.068,P1.26	DSS21BC-DSS-m3
R1.036,R2.015,R3.004,P1.04	clone1	R1.036,R2.015,R3.004,P1.26	DSS21BC-DSS-m3
R1.036,R2.020,R3.029,P1.04	clone1	R1.036,R2.020,R3.029,P1.26	DSS21BC-DSS-m3
R1.036,R2.031,R3.086,P1.04	clone1	R1.036,R2.031,R3.086,P1.26	DSS21BC-DSS-m3
R1.036,R2.042,R3.046,P1.04	clone1	R1.036,R2.042,R3.046,P1.26	DSS21BC-DSS-m3
